Neighborhood,Release
Beltzhoover,250.0
Bon Air,250.0
Overbrook,250.0
Carrick,250.0
Mount Washington,250.0
Beechview,250.0
Fairywood,0.0
Esplen,0.0
Windgap,0.0
Fairywood,0.0
Esplen,0.0
Windgap,0.0
Fairywood,5.0
Crafton Heights,5.0
Chartiers City,5.0
Esplen,5.0
Sheraden,5.0
Windgap,5.0
Elliott,5.0
Fairywood,5.0
Crafton Heights,5.0
Chartiers City,5.0
Esplen,5.0
Sheraden,5.0
Windgap,5.0
Elliott,5.0
Fairywood,301.0
Crafton Heights,301.0
Chartiers City,301.0
Esplen,301.0
Sheraden,301.0
Windgap,301.0
Elliott,301.0
Fairywood,0.0
Crafton Heights,0.0
